unit_number,observed_cycles,actual_rul_at_stop,total_cycles,is_censored,has_rare_fault,fault_type,fault_sensor,fault_sensor_index,fault_start,fault_end,fault_duration,fault_magnitude
162,131,63,194,True,False,,,,,,0,0.0
163,135,68,203,True,True,drop,T30,1.0,116.0,118.0,2,0.09860190256879348
166,133,71,204,True,False,,,,,,0,0.0
167,132,100,232,True,False,,,,,,0,0.0
169,135,50,185,True,True,drop,Ps30,4.0,128.0,132.0,4,0.07046120510652795
170,131,48,179,True,False,,,,,,0,0.0
171,131,127,258,True,False,,,,,,0,0.0
172,133,41,174,True,True,drop,P30,3.0,106.0,112.0,6,0.06319181106378327
173,130,21,151,True,True,plateau,T24,0.0,76.0,86.0,10,0.0
174,131,62,193,True,False,,,,,,0,0.0
175,130,72,202,True,False,,,,,,0,0.0
178,133,15,148,True,False,,,,,,0,0.0
179,133,48,181,True,False,,,,,,0,0.0
180,133,164,297,True,False,,,,,,0,0.0
181,131,124,255,True,False,,,,,,0,0.0
185,134,28,162,True,False,,,,,,0,0.0
186,133,61,194,True,False,,,,,,0,0.0
187,133,35,168,True,False,,,,,,0,0.0
188,134,14,148,True,False,,,,,,0,0.0
189,134,75,209,True,False,,,,,,0,0.0
190,135,122,257,True,False,,,,,,0,0.0
192,133,0,133,False,False,,,,,,0,0.0
193,131,41,172,True,False,,,,,,0,0.0
194,131,17,148,True,False,,,,,,0,0.0
197,130,24,154,True,True,plateau,W31,7.0,112.0,121.0,9,0.0
198,130,75,205,True,False,,,,,,0,0.0
199,134,85,219,True,False,,,,,,0,0.0
200,130,97,227,True,False,,,,,,0,0.0
201,130,61,191,True,False,,,,,,0,0.0
202,135,62,197,True,False,,,,,,0,0.0
205,134,64,198,True,False,,,,,,0,0.0
206,134,87,221,True,False,,,,,,0,0.0
207,135,49,184,True,True,drop,BPR,6.0,74.0,82.0,8,0.04146259129808071
208,133,17,150,True,True,drop,W32,8.0,119.0,128.0,9,0.06891785996199139
210,131,53,184,True,False,,,,,,0,0.0
211,135,79,214,True,True,drop,P30,3.0,119.0,125.0,6,0.03560344985523295
213,135,61,196,True,False,,,,,,0,0.0
215,134,92,226,True,False,,,,,,0,0.0
216,135,94,229,True,True,plateau,W32,8.0,125.0,129.0,4,0.0
217,130,32,162,True,True,plateau,W31,7.0,116.0,120.0,4,0.0
218,134,103,237,True,False,,,,,,0,0.0
219,132,24,156,True,False,,,,,,0,0.0
220,135,99,234,True,False,,,,,,0,0.0
221,135,43,178,True,False,,,,,,0,0.0
222,134,61,195,True,False,,,,,,0,0.0
226,135,43,178,True,False,,,,,,0,0.0
227,131,53,184,True,False,,,,,,0,0.0
228,133,129,262,True,False,,,,,,0,0.0
231,133,11,144,True,False,,,,,,0,0.0
232,132,110,242,True,True,plateau,W32,8.0,127.0,132.0,5,0.0
233,134,56,190,True,False,,,,,,0,0.0
234,132,27,159,True,False,,,,,,0,0.0
235,133,50,183,True,False,,,,,,0,0.0
237,130,79,209,True,False,,,,,,0,0.0
239,133,130,263,True,False,,,,,,0,0.0
241,133,50,183,True,False,,,,,,0,0.0
245,135,118,253,True,False,,,,,,0,0.0
246,132,62,194,True,False,,,,,,0,0.0
247,133,64,197,True,False,,,,,,0,0.0
248,134,100,234,True,False,,,,,,0,0.0
249,132,70,202,True,True,drift,W31,7.0,109.0,115.0,6,0.06871726616878926
250,132,52,184,True,False,,,,,,0,0.0
251,132,134,266,True,False,,,,,,0,0.0
252,135,0,135,False,False,,,,,,0,0.0
253,134,15,149,True,False,,,,,,0,0.0
254,134,126,260,True,False,,,,,,0,0.0
255,130,210,340,True,True,plateau,W32,8.0,110.0,116.0,6,0.0
256,132,31,163,True,False,,,,,,0,0.0
258,131,12,143,True,False,,,,,,0,0.0
259,135,70,205,True,True,plateau,T24,0.0,127.0,132.0,5,0.0
260,132,184,316,True,True,drift,T24,0.0,74.0,84.0,10,0.09006877132373763
